,0,1,2
0,0,0,0
1,0,0.004753518,-0.00363466
2,0.008348474,0.007535862,-0.006267009
3,0.002683854,0.007795455,-9.41E-05
4,-0.006295088,-0.0019272,-0.000470705
5,0.010602842,0.008858033,-9.42E-05
6,0.006570656,0.007743116,0.003861769
7,-0.009173399,-0.001347339,0.000187615
8,0.003529561,0.001738191,-0.003377111
9,-0.010551442,-0.0092503,0
10,-0.003956203,-0.003558983,0.00028237
11,-0.016105109,-0.01433828,0.004516825
12,-0.003545725,-0.00873812,0.004496515
13,0.019022071,0.019915953,-0.00214495
14,0.005557202,0.00769789,-0.00177572
15,0.005217619,0.005936782,-0.006366455
16,-0.011161423,-0.008627254,0.00584192
17,-0.007555402,-0.006987689,-0.003747091
18,0.011929071,0.006429702,-0.006770108
19,-0.015427773,-0.006334429,0.004733504
20,-0.002568721,0.00109029,-0.002072864
21,0.004675251,0.004508302,-0.001794004
22,-0.002809581,-0.002022151,-0.001891827
23,0.008197526,0.008950957,-0.000473806
24,0.000401278,-0.003097016,-0.000189665
25,0.00255184,0.002185344,0.001801821
26,0.010185357,0.006152346,-0.00179858
27,-0.000469291,0.006601869,0.0035088
28,-0.000710569,0.00408936,-0.002267983
29,0.011431576,0.01349375,-0.002273215
30,-0.000935304,0.000264728,-0.000379656
31,-0.00702603,-0.004072357,-0.000949725
32,0.002910122,0.001851166,0.002376426
33,0.007277695,0.008899358,0.001517345
34,-0.010332145,-0.006813613,0.006912177
35,0.002512361,0.003475618,0.005360241
36,-0.016855778,-0.019588341,0.019081404
37,0.002387973,0.003437722,-0.005965985
38,0.008431455,0.011567178,-0.000923416
39,-0.014272001,-0.009361366,0.007116488
40,-0.003920932,-0.004807433,0.004680206
41,0.003698577,0.003327416,-0.002100868
42,-0.003684948,-0.00085905,-0.003112092
43,-0.019599888,-0.015900192,0.011385529
44,-0.001072595,-0.005775209,-0.00036315
45,0.00131819,-0.002515887,0.010353274
46,0.013184206,0.012290262,0.006741573
47,0.004697618,0.003965009,-0.006339277
48,-0.008611733,-0.01437138,0.001527523
49,-0.007069533,-0.012425496,-0.005113942
50,0.009732692,0.003765123,-0.00054105
51,-0.010280932,-0.00335546,-0.001624109
52,0.003927507,0.0004329,-0.003072788
53,-0.000895531,0.004605818,-0.014504569
54,-0.002775453,0.001980472,-0.004139426
55,0.013243609,0.010241111,-0.013578431
56,-0.009679586,-0.000660346,-0.001217314
57,0.006271069,0.007260975,0.00093754
58,-7.37E-05,0.002481723,0
59,-0.016690873,-0.014474443,-0.003372049
60,-0.000170524,-0.009474142,-0.002537641
61,-0.00082393,0.005362305,0.000471149
62,0.003223399,0.001055188,-0.006780947
63,0.00156008,0.004386669,0.003603233
64,0.01050306,0.008645284,-0.015400577
65,0.004228864,0.007110285,-0.004510133
66,-0.019091683,-0.015300893,0.00838638
67,-0.009562206,-0.002352733,0.004588424
68,0.009826005,0.010802803,0.006375545
69,0.002883507,-0.001785203,-0.00510591
70,-0.007318733,-0.004944036,0.011404647
71,0.000749358,0.001467425,-0.000187897
72,-0.001073965,0.002242355,-0.009868458
73,-0.011186053,-0.010763383,0.013953508
74,0.000752219,-0.015571614,0.017318835
75,0.003344773,0.000895628,-0.00423299
76,0.001332281,0.002730813,-0.003788892
77,0.000335751,0.006017369,0.005473061
78,-0.013233991,-0.012068447,0.005258788
79,-0.00321234,-0.008847813,0.003579286
80,0.009742591,0.003267017,0.000274339
81,-0.006291792,-0.001170516,-0.002011273
82,0.001007592,0.007215176,-0.004855322
83,0.005655047,0.003297311,0.008192949
84,-0.007212645,-0.011653059,0.004565376
85,0.009879245,0.001347819,-0.000818006
86,0.001917222,0.002934483,0.004002574
87,-0.003915567,-0.004056561,-0.001902682
88,0.014163012,0.013719208,-0.005537409
89,0.004450201,-0.002615155,-0.006663651
90,-0.006739074,0.00201006,0.00845431
91,-0.01631117,-0.003005699,0.023418991
92,-0.002866159,-0.006700212,0.012643621
93,0.003041543,-0.009505916,-0.006946285
94,0.001940752,0.006752201,0.000265619
95,-0.008487155,-0.006706914,0.014340046
96,0.00660623,-0.000966872,-0.004188804
97,0.012036704,0.007155639,0.002804303
98,-0.006652801,-0.002490971,-0.002971284
99,0.004933441,0.008660363,-0.010868595
100,-0.003910383,-0.003692863,-0.001063314
101,0.005942126,0.007945908,-0.003459656
102,-0.002411862,0.001164498,0.006943271
103,0.008494846,0.011618036,-0.011580666
104,0.000823901,0.001325232,0.000447214
105,0.013625697,0.011956483,-0.007062408
106,-0.004715721,-0.002016209,-0.009903655
107,-0.001561621,-0.000164765,-0.004092061
108,0.003771624,0.004362085,0.008217686
109,-0.002126582,-0.003430396,-0.005162108
110,0.000171046,0.002888311,0.011925408
111,0.004419424,-0.000368017,0.000899586
112,0.00349815,0.001252372,-0.014740239
113,-0.004622504,-0.000938511,-0.000821055
114,-0.017787206,-0.00619684,0.00785173
115,0.005485358,0.007607406,-0.010145865
116,-0.007761976,-0.013142822,0.007870413
117,0.003908435,-0.001977132,0.007808962
118,0.008625435,0.010689613,-0.014235463
119,-0.013075742,-0.004581192,0.006215081
120,0.002250361,0.005044423,-0.004632519
121,0.009230529,0.002666825,-0.007848156
122,-0.001564422,-0.003354568,-0.000367927
123,-0.000338939,-0.006067275,0.004692694
124,-0.00296157,-0.002743702,-0.008975208
125,0.007280294,0.003684111,-0.009426088
126,0.002379654,0.001314919,0.003824946
127,-0.001316069,0.002140646,0.003624535
128,-0.007295509,-0.011468896,0.00185206
129,0.00710363,0.006189038,0.006285248
130,-0.001799904,5.44E-05,-0.003674125
131,0.01224958,0.005104653,-0.00193601
132,-0.000898381,0.000769024,0.006927766
133,-0.001216263,0.00524577,0.003669406
134,0.007002029,0.007435603,-0.008134603
135,0.00193355,-0.001888054,0.003040923
136,0.001937886,0.005958,-0.006155241
137,-0.00088091,9.29E-05,0.001201682
138,-0.006043667,-0.002358768,0.001015603
139,0.004210641,-0.000853791,0.006733112
140,-0.002335088,-0.001630917,0.005588639
141,0.008084299,0.010694102,-0.009384102
142,-0.001281316,-0.002503738,-0.004230718
143,-0.008523326,-0.008244157,0.002031966
144,-0.005750794,-0.006973029,0.012720113
145,-0.00057653,0.002785642,-0.001001192
146,-0.01305162,-0.006451784,0.003553207
147,0.003557377,0.004529701,-0.002541979
148,-0.006176775,-0.00995375,0.009192627
149,-0.001662793,-5.49E-05,0.007846348
150,-0.000493192,-0.002617824,0.003221485
151,-0.001826709,0.002186329,-0.006689858
152,0.000493507,0.001204111,-0.004579768
153,0.00257861,0.000328348,-0.001804204
154,0.00057911,0.000328788,0.003163109
155,-0.000662523,-0.000821152,0.006756757
156,0.02124383,0.008832858,-0.011096179
157,-0.002847741,0.000441825,0.001266854
158,-0.003009871,-0.007074223,0.005151369
159,-0.001149067,0.001483134,-0.004135938
160,0.001395031,-0.004102487,0.001083378
161,0.011188006,0.010761417,-0.001623377
162,-0.001372018,-0.000717966,-0.002800343
163,-0.001123073,-0.007492738,-0.003985886
164,-0.00040745,-0.002133963,-0.004729395
165,0.002585891,0.004893386,-0.000639669
166,-0.0040414,-0.007313613,-0.002286028
167,-0.01379246,-0.00539191,0.005773962
168,-0.00576366,-0.009445683,-0.000455586
169,0.000338521,0.002281417,0.00373777
170,0.001077275,-0.000394679,-0.004359628
